customer_id,Sub_flag,subscription,Recency_flag,Refreq,points
1259216,20,0,5,5,11
1260560,20,0,1,4,12
1286544,20,0,4,0,4
1289456,20,0,5,4,16
1297632,20,0,4,4,7
1300768,20,0,5,4,7
1316336,20,0,5,0,2
1328208,20,0,4,4,14
1345680,20,0,4,4,19
1376256,20,0,5,0,3
1438304,20,0,5,5,6
1466528,20,0,4,0,5
1510320,20,0,5,0,5
1540560,20,0,5,4,7
1546272,20,0,4,0,6
1583904,20,0,5,0,2
1593536,20,0,5,0,2
1600144,20,0,5,5,15
1611344,20,0,5,0,10
1630160,20,0,4,5,13
1649872,20,0,4,0,3
1658272,20,0,5,0,3
1678432,20,0,4,5,11
1683136,20,0,5,0,2
1692544,20,0,3,5,20
1695008,20,0,4,3,9
1729392,20,0,4,0,6
1750896,20,0,5,5,13
1761088,20,0,5,5,14
1790656,20,0,2,5,14
1792560,20,0,5,5,11
1797824,20,0,5,4,8
1802416,20,0,5,4,6
1867040,20,0,5,0,1
1896608,20,0,4,0,2
1927520,20,0,5,5,15
1948016,20,0,4,0,4
1972992,20,0,5,4,7
1996400,20,0,5,5,9
2013984,20,0,4,4,24
2017680,20,0,5,5,13
2022048,20,0,4,0,8
2025968,20,0,4,5,14
2056320,20,0,5,5,6
2056432,20,0,5,0,5
2077936,20,0,5,4,5
2081520,20,0,5,5,7
2137744,20,0,4,5,25
2138976,20,0,4,0,1
2139760,20,0,5,0,10
2162496,20,0,5,0,8
2167424,20,0,4,0,4
2203376,20,0,5,0,10
2226336,20,0,5,4,5
2228352,20,0,4,4,6
2231152,20,0,5,5,9
2278528,20,0,3,0,8
2279312,20,0,5,0,2
2282000,20,0,5,4,12
2288496,20,0,5,5,14
2294880,20,0,5,5,17
2298128,20,0,4,0,2
2334640,20,0,4,0,2
2385712,20,0,4,4,10
2399936,20,0,4,4,8
2411024,20,0,5,0,10
2417296,20,0,5,0,2
2421440,20,0,5,5,9
2442832,20,0,5,5,6
2444624,20,0,5,4,6
2468368,20,0,1,4,19
2485840,20,0,5,5,13
2496592,20,0,4,0,10
2501520,20,0,5,0,4
2511824,20,0,5,0,3
2549232,20,0,5,0,4
2574320,20,0,5,4,8
2576560,20,0,5,4,8
2578128,20,0,4,0,1
2604224,20,0,5,5,9
2632224,20,0,5,4,6
2636592,20,0,4,5,15
2639616,20,0,5,0,2
2677360,20,0,5,0,4
2682288,20,0,4,5,13
2739184,20,0,5,0,3
2754080,20,0,5,3,9
2755984,20,0,4,0,8
2768080,20,0,4,0,1
2840096,20,0,4,4,10
2913232,20,0,4,5,11
2989504,20,0,5,0,1
3026912,20,0,5,2,6
3069808,20,0,5,0,8
3114608,20,0,5,0,1
3120320,20,0,4,5,17
3120544,20,0,5,0,6
3147312,20,0,5,5,7
3147984,20,0,5,0,20
3162096,20,0,5,4,14
3171952,20,0,4,0,1
3193680,20,0,5,4,8
3264016,20,0,4,0,4
3283392,20,0,4,4,12
3304672,20,0,5,4,10
3320240,20,0,5,0,4
3335920,20,0,5,0,1
3365040,20,0,4,0,4
3408272,20,0,2,0,3
3514448,20,0,4,4,6
3551408,20,0,4,0,4
3556112,20,0,3,0,1
3561488,20,0,4,5,7
3567424,20,0,4,0,4
3582096,20,0,5,0,5
3604608,20,0,4,0,4
3610768,20,0,4,4,14
3631600,20,0,3,4,8
3636528,20,0,5,0,2
3679984,20,0,4,3,5
3729152,20,0,3,2,4
3729712,20,0,5,5,7
3734640,20,0,5,0,1
3735984,20,0,4,4,12
3736432,20,0,4,4,12
3746736,20,0,5,0,4
3757376,20,0,5,0,3
3785152,20,0,4,0,4
3812592,20,0,5,0,6
3822112,20,0,5,1,5
3842720,20,0,4,0,2
3947888,20,0,5,5,30
3970288,20,0,5,5,20
4009152,20,0,4,4,5
4030320,20,0,5,0,6
4063136,20,0,5,4,6
4084080,20,0,5,1,5
4089680,20,0,4,0,2
4149600,20,0,5,5,11
4175360,20,0,4,0,4
4208736,20,0,5,4,9
4224864,20,0,5,4,6
4234384,20,0,5,5,13
4238528,20,0,5,0,2
4240768,20,0,4,5,9
4257008,20,0,3,1,9
4285680,20,0,1,0,6
4311776,20,0,5,0,10
4320848,20,0,5,0,2
4400256,20,0,5,4,10
4447296,20,0,5,4,7
4454464,20,0,5,5,15
4477648,20,0,3,4,5
4482464,20,0,5,4,5
4546304,20,0,5,3,13
4578896,20,0,5,5,13
4599504,20,0,5,5,15
4622016,20,0,5,5,13
4637136,20,0,4,0,1
4637696,20,0,5,0,2
4675104,20,0,5,5,15
4826752,20,0,5,0,15
4884768,20,0,5,0,6
4940992,20,0,5,4,7
4953984,20,0,4,4,14
4965072,20,0,4,5,7
5029248,20,0,5,0,2
5045264,20,0,4,5,15
5060048,20,0,4,5,9
5087040,20,0,3,0,12
5103168,20,0,5,5,11
5116048,20,0,4,4,6
5198032,20,0,4,0,6
5221328,20,0,5,4,5
5230400,20,0,5,0,4
5281584,20,0,5,4,9
5288864,20,0,4,5,20
5293232,20,0,4,4,8
5293344,20,0,5,0,6
5321680,20,0,5,4,8
5336912,20,0,4,5,15
5347552,20,0,4,0,6
5350576,20,0,4,5,30
5356400,20,0,4,5,11
5357408,20,0,4,0,4
5408032,20,0,5,5,7
5414528,20,0,5,5,11
5437712,20,0,4,0,4
5458768,20,0,5,3,4
5462240,20,0,4,4,5
5493936,20,0,4,5,6
5504352,20,0,4,4,6
5510848,20,0,5,0,6
5541760,20,0,5,5,9
5554080,20,0,5,5,6
5566960,20,0,5,4,8
5586000,20,0,4,0,5
5588128,20,0,4,4,5
5592048,20,0,5,4,16
5601008,20,0,5,5,17
5601456,20,0,4,0,4
5609408,20,0,4,4,12
5620048,20,0,5,0,8
5766880,20,0,4,3,7
5774720,20,0,5,4,5
5780544,20,0,5,0,1
5801376,20,0,5,5,7
5813472,20,0,5,5,11
5817616,20,0,4,4,8
5881120,20,0,5,5,20
5922896,20,0,4,0,2
5939472,20,0,4,0,2
5948768,20,0,5,0,1
5952352,20,0,5,0,2
5965008,20,0,5,0,3
5969152,20,0,4,0,3
5975200,20,0,5,5,7
5991216,20,0,5,0,1
6002416,20,0,5,0,4
6033104,20,0,5,4,10
6042176,20,0,5,0,2
6065024,20,0,4,5,11
6090896,20,0,5,4,5
6092128,20,0,4,0,3
6136032,20,0,4,0,3
6139952,20,0,4,5,15
6155856,20,0,5,5,11
6175904,20,0,5,5,11
6276032,20,0,4,4,16
6304144,20,0,5,5,7
6328000,20,0,1,3,7
6348608,20,0,5,4,7
6357120,20,0,5,0,4
6360816,20,0,5,5,11
6387584,20,0,5,5,9
6410880,20,0,5,5,20
6456352,20,0,4,5,9
6456912,20,0,5,5,7
6517280,20,0,5,5,9
6520864,20,0,5,0,4
6533856,20,0,5,4,10
6614048,20,0,4,5,14
6615168,20,0,5,5,25
6618640,20,0,4,0,4
6661648,20,0,3,0,3
6666464,20,0,5,0,1
6698944,20,0,4,5,11
6716416,20,0,5,0,3
6720448,20,0,5,0,4
6741616,20,0,5,0,2
6816768,20,0,4,0,4
6825952,20,0,5,0,4
6835808,20,0,4,4,5
6849808,20,0,5,4,10
6893488,20,0,5,5,13
6962480,20,0,5,0,3
7015120,20,0,5,5,13
7025984,20,0,5,0,1
7054544,20,0,5,0,10
7110544,20,0,5,4,6
7124880,20,0,5,5,8
7137648,20,0,5,4,16
7141120,20,0,2,5,9
7142800,20,0,5,4,8
7150416,20,0,5,0,2
7163632,20,0,5,0,4
7190512,20,0,4,5,20
7202160,20,0,5,0,2
7221200,20,0,5,0,10
7226016,20,0,5,5,15
7226912,20,0,5,0,2
7279664,20,0,5,5,20
7313040,20,0,5,5,11
7318528,20,0,5,4,7
7357392,20,0,5,2,4
7368368,20,0,5,0,12
7372512,20,0,5,4,6
7382144,20,0,5,0,3
7473424,20,0,5,0,6
7474880,20,0,5,5,11
7499968,20,0,5,0,10
7597072,20,0,4,0,10
7645568,20,0,5,4,6
7657328,20,0,5,4,24
7695296,20,0,4,4,8
7722064,20,0,4,3,5
7763616,20,0,5,0,8
7791168,20,0,5,1,9
7823984,20,0,5,5,11
7830144,20,0,5,0,5
7880432,20,0,5,0,1
7978768,20,0,5,5,13
7980448,20,0,4,0,4
7992656,20,0,5,1,9
8065792,20,0,5,0,3
8167936,20,0,5,4,5
8279824,20,0,5,4,8
8318128,20,0,4,0,2
8379504,20,0,5,0,2
8380624,20,0,5,4,7
8412208,20,0,4,0,1
8505952,20,0,4,0,4
8550864,20,0,5,5,11
8656928,20,0,5,4,10
8719760,20,0,4,5,7
8729952,20,0,5,0,16
8759408,20,0,5,5,7
8889552,20,0,5,0,4
8908480,20,0,5,0,4
8944432,20,0,5,0,1
9157008,20,0,5,5,6
9162832,20,0,4,5,11
9405984,20,0,5,5,9
9434768,20,0,5,5,9
9600976,20,0,4,0,1
10054912,20,0,4,2,12
10087392,20,0,5,5,15
1123696,20,1,5,0,8
1173088,20,1,5,0,2
1247680,20,1,4,0,5
1262464,20,1,5,0,4
1322272,20,1,4,0,3
1589056,20,1,5,0,2
1600368,20,1,5,0,6
1647744,20,1,5,5,6
1661632,20,1,5,0,5
1763776,20,1,5,0,2
1779456,20,1,5,0,10
1812608,20,1,5,0,10
1926736,20,1,4,4,10
2049936,20,1,5,4,8
2053184,20,1,4,4,10
2055984,20,1,4,0,1
2071216,20,1,5,5,7
2139872,20,1,5,4,8
2212336,20,1,5,5,17
2329152,20,1,5,0,1
2333184,20,1,4,0,1
2334192,20,1,5,0,8
2340128,20,1,5,3,23
2400944,20,1,5,0,2
2410240,20,1,5,0,1
2462096,20,1,5,4,7
2607136,20,1,5,2,4
2707712,20,1,4,5,9
2724176,20,1,5,0,10
2765952,20,1,5,5,20
2856112,20,1,5,4,12
2856896,20,1,5,0,8
2862720,20,1,4,0,3
2884560,20,1,5,5,14
2891280,20,1,4,5,20
3117856,20,1,5,0,6
3130848,20,1,3,5,17
3133088,20,1,5,5,11
3152912,20,1,4,0,1
3172960,20,1,5,0,2
3261552,20,1,5,0,2
3446128,20,1,5,5,8
3466400,20,1,4,0,3
3468752,20,1,5,4,5
3484656,20,1,5,5,11
3573360,20,1,4,5,15
3579296,20,1,4,0,12
3596656,20,1,5,4,9
3892672,20,1,4,0,1
3954496,20,1,3,4,7
3987200,20,1,5,0,3
3993360,20,1,5,5,30
4017664,20,1,4,0,1
4023824,20,1,5,5,14
4023936,20,1,5,3,7
4030432,20,1,5,0,6
4062912,20,1,4,0,6
4411008,20,1,4,5,7
4422208,20,1,4,0,8
4498256,20,1,4,2,5
4569936,20,1,4,0,3
4621904,20,1,5,0,1
4719456,20,1,4,0,2
4791696,20,1,4,0,4
4979296,20,1,4,5,13
5107312,20,1,3,5,9
5164656,20,1,4,0,1
5206656,20,1,5,0,2
5210800,20,1,4,4,8
5264784,20,1,5,5,11
5289984,20,1,5,4,7
5295248,20,1,5,0,6
5316192,20,1,4,0,4
5386528,20,1,5,0,8
5455408,20,1,4,5,15
5489456,20,1,2,5,11
5538624,20,1,5,0,3
5876080,20,1,5,3,4
5943840,20,1,4,4,8
5944176,20,1,5,5,25
6266736,20,1,5,4,12
6276480,20,1,5,4,16
6305040,20,1,5,0,4
6362944,20,1,5,0,10
6431936,20,1,5,5,20
6564768,20,1,5,4,12
6587056,20,1,4,4,7
6676880,20,1,4,5,15
6699728,20,1,3,0,8
6717648,20,1,5,0,3
6728848,20,1,4,4,7
6748784,20,1,5,5,20
6773760,20,1,4,0,1
6797504,20,1,5,0,8
6802992,20,1,5,0,10
6809488,20,1,5,5,13
6926976,20,1,5,0,12
6970432,20,1,5,0,6
6990256,20,1,5,0,4
7034272,20,1,4,5,15
7044464,20,1,4,5,7
7080416,20,1,5,0,12
7308224,20,1,5,4,8
7329056,20,1,4,5,11
7360752,20,1,5,5,9
7560336,20,1,5,0,1
7595616,20,1,4,4,10
7746480,20,1,5,2,8
7771344,20,1,5,5,11
7832496,20,1,4,5,9
7891856,20,1,5,5,11
8033984,20,1,4,0,8
8268624,20,1,3,5,9
8478848,20,1,4,0,1
8601936,20,1,5,5,8
8863792,20,1,4,5,11
8869392,20,1,4,4,6
8874768,20,1,5,5,20
8883952,20,1,5,5,20
10058272,20,1,4,5,13
10084592,20,1,4,5,15
1128400,16,0,5,4,8
1269632,16,0,5,4,8
1277248,16,0,5,0,8
1345456,16,0,4,4,14
1576176,16,0,4,5,11
1667456,16,0,4,0,8
1695904,16,0,5,0,3
1727824,16,0,5,0,1
1753024,16,0,4,0,6
1810144,16,0,5,0,3
1836128,16,0,5,0,4
1837808,16,0,4,5,9
1983408,16,0,5,4,8
2001440,16,0,5,0,8
2048816,16,0,5,5,15
2054416,16,0,5,0,4
2055536,16,0,5,0,6
2225888,16,0,4,0,4
2441488,16,0,5,0,8
2841328,16,0,5,0,1
2955680,16,0,4,0,6
3018736,16,0,5,1,5
3208240,16,0,4,0,1
3302880,16,0,5,0,10
3303888,16,0,4,0,2
3325280,16,0,5,5,8
3329648,16,0,4,4,5
3434256,16,0,5,0,15
3456768,16,0,5,0,8
3563504,16,0,5,0,4
3733184,16,0,4,0,1
3748640,16,0,4,5,9
3939264,16,0,5,5,15
4011616,16,0,5,5,7
4042080,16,0,5,5,25
