,index,product_id,category_id,subcategory_id,manufacturer_id,selling_price_per_unit
10249,6563282,4179392,1123024,1128288,1128064,313.05
10250,6566241,1347920,1122352,1123472,1136240,91.0
10251,6568954,4059552,1122800,1134448,1130528,75.6
10252,6570105,2893184,1122464,1131088,1183952,0.0
10253,6570699,4066944,1122576,1125152,1169504,22.5
10254,6573119,3726464,1122464,1124816,1191232,168.0
10255,6573411,4173792,1123248,1126048,1138256,46.22
10256,6577040,2782976,1123024,1127728,1129744,0.0
10257,6581055,3989328,1122464,1124480,1194032,52.5
10258,6581849,4049584,1122800,1138592,1193136,351.64
10259,6583390,3780224,1122464,1124480,1138144,0.0
10260,6585205,1595776,1122464,1124816,1128400,0.0
10261,6586789,4122048,1123248,1129632,1127168,0.0
10262,6589991,4171440,1123248,1126048,1138256,12.93
10263,6599058,2803024,1122464,1124144,1121568,654.13
10264,6600488,2379552,1123024,1128176,1130864,173.73
10265,6600832,4130784,1122800,1140832,1197056,24.5
10266,6602625,4121824,1122464,1124480,1121344,0.0
10267,6605666,4174240,1123248,1126048,1138256,167.08
10268,6607168,4185104,1122912,1127616,1151136,40.0
10269,6608579,2894304,1123136,1134784,1183952,232.31
10270,6616176,3774624,1122464,1124816,1125488,77.22
10271,6616215,3773056,1122912,1127168,1123472,0.0
10272,6619644,1359568,1122464,1124144,1126720,179.0
10273,6624317,4066608,1122576,1125152,1169504,22.5
10274,6624891,3968944,1122352,1123808,1130976,0.0
10275,6627086,4117456,1122464,1124592,1196832,73.8
10276,6628101,2283568,1122800,1134896,1125040,0.0
10277,6630198,1971872,1123136,1130304,1123696,9.6
10278,6630801,2238768,1123024,1127728,1140496,0.0
10279,6631343,2238096,1123024,1127728,1140496,0.0
10280,6631836,2355696,1123024,1127728,1128176,136.36
10281,6633047,2122064,1122464,1124144,1134336,299.0
10282,6634562,2189600,1122800,1134448,1150016,112.89
10283,6634716,2189824,1122800,1134448,1150016,72.0
10284,6635709,2320864,1123136,1128848,1148896,126.0
10285,6637826,1926176,1122464,1124032,1142512,27.0
10286,6638291,2299136,1122464,1131088,1153488,691.59
10287,6638543,1929088,1124144,1135232,1142624,224.99
10288,6639451,2151072,1123472,1136688,1150128,190.0
10289,6640741,1460368,1123024,1127840,1130528,0.0
10290,6643223,2127888,1123024,1127728,1131872,40.0
10291,6643463,1697472,1122464,1124816,1124704,34.0
10292,6643554,1510992,1123024,1128176,1136352,99.28
10293,6643864,1888992,1122912,1127392,1122912,80.3225
10294,6651686,2203376,1123248,1129632,1126720,262.95
10295,6651870,2242352,1122912,1127616,1121568,0.0
10296,6654829,2039744,1122464,1124816,1123696,0.0
10297,6655540,1972880,1124480,1126160,1140496,0.0
10298,6656204,1406720,1122800,1134896,1191344,249.99
