,customer_id,Recency_flag,monetary_flag
11679,11763472,5,1
11688,11769632,5,1
11704,11785088,5,1
11710,11788672,5,1
11724,11796512,5,1
11742,11815328,5,1
11748,11820816,5,1
11754,11827760,5,1
11763,11832576,5,1
11766,11834368,5,1
11770,11838176,5,1
11774,11841200,5,1
11775,11841984,5,1
11780,11847808,5,1
11821,11884432,5,1
11825,11890032,5,1
11871,11925984,5,1
11879,11932704,5,1
11886,11939760,5,1
11887,11940096,5,1
11898,11956784,5,1
11928,11978176,5,1
11932,11979856,5,1
11990,12032832,5,1
11991,12035072,5,1
12006,12045264,5,1
12012,12050528,5,1
12039,12064976,5,1
12077,12092304,5,1
12093,12100368,5,1
12097,12103728,5,1
12116,12121648,5,1
12184,12171264,5,1
12194,12176640,5,1
12213,12191648,5,1
12248,12220768,5,1
12282,12240032,5,1
12292,12245744,5,1
12310,12264112,5,1
12330,12281584,5,1
12333,12283152,5,1
12342,12288976,5,1
12355,12298608,5,1
12359,12305776,5,1
12364,12310592,5,1
12380,12321680,5,1
12384,12327840,5,1
12402,12340944,5,1
12405,12347216,5,1
12412,12357632,5,1
12425,12366816,5,1
12460,12392912,5,1
12478,12406240,5,1
12506,12433232,5,1
12509,12435920,5,1
12519,12448016,5,1
12520,12449472,5,1
12522,12456640,5,1
12544,12476912,5,1
12579,12508384,5,1
12593,12518688,5,1
12618,12541088,5,1
12622,12545008,5,1
12630,12548256,5,1
12636,12551168,5,1
12637,12551392,5,1
12651,12568640,5,1
12656,12576256,5,1
12659,12578720,5,1
12677,12594400,5,1
12693,12616016,5,1
12706,12626208,5,1
12730,12645024,5,1
12752,12666752,5,1
12757,12672128,5,1
12764,12678512,5,1
12805,12713904,5,1
12824,12725888,5,1
12853,12747616,5,1
12858,12753328,5,1
12869,12761504,5,1
12874,12768560,5,1
12881,12780320,5,1
12883,12781216,5,1
12895,12793760,5,1
12908,12807200,5,1
12910,12809104,5,1
12917,12821088,5,1
12930,12829936,5,1
12938,12835088,5,1
12964,12865440,5,1
12971,12871264,5,1
12973,12874512,5,1
12977,12881344,5,1
12985,12888624,5,1
12989,12895008,5,1
12991,12897248,5,1
13009,12916512,5,1
13013,12919984,5,1
13018,12924464,5,1
13024,12927936,5,1
13038,12938352,5,1
13042,12939920,5,1
13049,12944848,5,1
13055,12954144,5,1
13060,12958288,5,1
13070,12968592,5,1
13097,12996592,5,1
13104,13004544,5,1
13113,13012608,5,1
13119,13024144,5,1
13128,13034112,5,1
13132,13036016,5,1
13133,13036128,5,1
13139,13039600,5,1
13155,13054048,5,1
13162,13061776,5,1
13202,13090896,5,1
13211,13094144,5,1
13216,13097280,5,1
13224,13105904,5,1
13232,13112736,5,1
13235,13115536,5,1
13245,13125728,5,1
13255,13132448,5,1
13299,13172768,5,1
13302,13176240,5,1
13309,13188224,5,1
13310,13188336,5,1
13319,13197072,5,1
13322,13198192,5,1
13323,13198528,5,1
13327,13200544,5,1
13356,13226864,5,1
13370,13242880,5,1
13385,13261472,5,1
13404,13284432,5,1
13437,13328448,5,1
13444,13333600,5,1
13453,13342560,5,1
13454,13343456,5,1
13486,13380640,5,1
13499,13400128,5,1
13512,13412112,5,1
13513,13413792,5,1
13514,13414016,5,1
13563,13463856,5,1
13569,13465984,5,1
13582,13477744,5,1
13586,13481776,5,1
13599,13502272,5,1
13603,13512576,5,1
13609,13517392,5,1
13614,13523216,5,1
13615,13524224,5,1
13626,13536992,5,1
13629,13540128,5,1
13640,13560400,5,1
13648,13570368,5,1
13663,13585040,5,1
13669,13589408,5,1
13670,13590528,5,1
13691,13608672,5,1
13692,13609232,5,1
13708,13627488,5,1
13720,13639024,5,1
13724,13644400,5,1
13726,13646304,5,1
13727,13649328,5,1
13743,13666576,5,1
13763,13684720,5,1
13775,13692000,5,1
13784,13698048,5,1
13795,13711824,5,1
13847,13773200,5,1
13876,13793248,5,1
13884,13802544,5,1
13908,13838720,5,1
13910,13840512,5,1
13911,13840848,5,1
13922,13849136,5,1
13924,13849696,5,1
13943,13872656,5,1
13966,13890128,5,1
13973,13894272,5,1
13974,13894944,5,1
14012,13931456,5,1
14030,13945008,5,1
14033,13950384,5,1
14046,13967408,5,1
14060,13984096,5,1
14064,13988352,5,1
14068,13996304,5,1
14109,14042672,5,1
14128,14062608,5,1
14134,14067536,5,1
14138,14072016,5,1
14142,14074480,5,1
14145,14077168,5,1
14162,14108640,5,1
14182,14127568,5,1
14196,14142128,5,1
14209,14153776,5,1
14216,14163072,5,1
14220,14167216,5,1
14221,14167440,5,1
14222,14171248,5,1
14236,14180096,5,1
14244,14189280,5,1
14255,14199920,5,1
14257,14201600,5,1
14269,14213248,5,1
14270,14213808,5,1
14290,14227920,5,1
14356,14274288,5,1
14365,14294000,5,1
14369,14296576,5,1
14375,14304528,5,1
14380,14307664,5,1
14404,14335664,5,1
14408,14338240,5,1
14421,14347200,5,1
14425,14348768,5,1
14428,14353696,5,1
14435,14362992,5,1
14436,14364672,5,1
14447,14374416,5,1
14468,14391104,5,1
14488,14409920,5,1
14494,14414624,5,1
14525,14439264,5,1
14554,14457072,5,1
14555,14459200,5,1
14559,14460432,5,1
14572,14474432,5,1
14574,14476448,5,1
14582,14481824,5,1
14592,14494592,5,1
14607,14505008,5,1
14613,14511504,5,1
14616,14519120,5,1
14617,14520688,5,1
14618,14521024,5,1
14624,14529536,5,1
14637,14538608,5,1
14640,14540736,5,1
14644,14544096,5,1
14677,14574112,5,1
14689,14586432,5,1
14692,14589008,5,1
14742,14642656,5,1
14745,14644560,5,1
14746,14646128,5,1
14759,14655312,5,1
14760,14656656,5,1
14774,14671328,5,1
14775,14675696,5,1
14793,14700336,5,1
14797,14702352,5,1
14803,14706160,5,1
14808,14715792,5,1
14811,14718704,5,1
14841,14750624,5,1
14842,14751856,5,1
14854,14761152,5,1
14859,14763728,5,1
14869,14774816,5,1
14873,14777840,5,1
14887,14784336,5,1
14891,14788480,5,1
14902,14798336,5,1
14912,14811328,5,1
14929,14831488,5,1
14933,14836080,5,1
14953,14857696,5,1
14969,14879648,5,1
14971,14881216,5,1
14975,14885584,5,1
14993,14909552,5,1
15008,14921424,5,1
15038,14946176,5,1
15045,14952784,5,1
15048,14955808,5,1
15049,14957264,5,1
15050,14958384,5,1
15051,14959616,5,1
15055,14964432,5,1
15062,14968352,5,1
15071,14979552,5,1
15080,14988848,5,1
15089,15000272,5,1
15090,15001392,5,1
15095,15004192,5,1
15101,15008672,5,1
15107,15014384,5,1
15122,15025696,5,1
15124,15027152,5,1
15166,15066464,5,1
15192,15097936,5,1
15202,15111152,5,1
15207,15115520,5,1
15213,15121456,5,1
15217,15122464,5,1
15227,15129408,5,1
15229,15131536,5,1
15233,15136240,5,1
15263,15169392,5,1
15267,15172640,5,1
15274,15176336,5,1
15284,15188208,5,1
15297,15197952,5,1
15306,15208480,5,1
15312,15211952,5,1
15334,15232112,5,1
15364,15256528,5,1
15375,15278816,5,1
15376,15278928,5,1
15391,15295616,5,1
15395,15301888,5,1
15401,15307264,5,1
15407,15312528,5,1
15412,15322384,5,1
15431,15347136,5,1
15449,15372336,5,1
15458,15383872,5,1
15470,15396752,5,1
15472,15398656,5,1
15473,15398880,5,1
15480,15411760,5,1
15484,15413888,5,1
15490,15418480,5,1
15491,15418928,5,1
15493,15421952,5,1
15507,15435504,5,1
15522,15458352,5,1
15528,15473696,5,1
15536,15490720,5,1
15550,15503488,5,1
15552,15506624,5,1
15558,15516256,5,1
15572,15527120,5,1
15584,15541568,5,1
15587,15546384,5,1
15596,15556800,5,1
15606,15570016,5,1
15610,15575952,5,1
15614,15581776,5,1
15621,15594768,5,1
15636,15624560,5,1
15638,15625232,5,1
15643,15629488,5,1
15649,15639120,5,1
15658,15649872,5,1
15683,15678768,5,1
15705,15694896,5,1
15708,15697808,5,1
15709,15699712,5,1
15722,15710912,5,1
15727,15715056,5,1
15731,15720544,5,1
15757,15750448,5,1
15776,15778336,5,1
15777,15781360,5,1
15783,15786288,5,1
15789,15793344,5,1
15797,15802528,5,1
15887,15900192,5,1
15888,15900752,5,1
15895,15907472,5,1
15896,15907920,5,1
15910,15921584,5,1
15916,15925056,5,1
15920,15930096,5,1
15926,15937824,5,1
15928,15939280,5,1
15929,15939616,5,1
15944,15954512,5,1
15949,15962800,5,1
15973,15990240,5,1
15975,15993264,5,1
15993,16021152,5,1
15996,16024624,5,1
15998,16030336,5,1
15999,16030896,5,1
16000,16031456,5,1
16006,16039072,5,1
16020,16051280,5,1
16021,16051728,5,1
16030,16059792,5,1
16035,16069760,5,1
16044,16082304,5,1
16048,16087344,5,1
16058,16093504,5,1
16062,16098768,5,1
16065,16103360,5,1
16084,16129792,5,1
16087,16132704,5,1
16091,16137184,5,1
16127,16195424,5,1
16133,16198112,5,1
16155,16214240,5,1
16157,16217824,5,1
16162,16220736,5,1
16166,16225328,5,1
16170,16230928,5,1
16176,16239664,5,1
16207,16273936,5,1
16214,16283120,5,1
16220,16290848,5,1
16253,16335536,5,1
16264,16346064,5,1
16275,16355024,5,1
16276,16355360,5,1
16287,16367792,5,1
16292,16372272,5,1
16299,16379888,5,1
16306,16386832,5,1
16307,16387056,5,1
16308,16387168,5,1
16311,16389520,5,1
16315,16397024,5,1
16321,16401952,5,1
16325,16409120,5,1
16338,16432192,5,1
16345,16442160,5,1
16348,16447424,5,1
16360,16461872,5,1
16363,16465568,5,1
16375,16478000,5,1
16377,16480128,5,1
16388,16496368,5,1
16390,16501632,5,1
16392,16505888,5,1
16420,16565472,5,1
16422,16570176,5,1
16441,16595040,5,1
16461,16620688,5,1
16474,16634800,5,1
16476,16636592,5,1
16480,16642640,5,1
16508,16684640,5,1
16509,16684864,5,1
16514,16696848,5,1
16533,16714544,5,1
16534,16714768,5,1
16556,16741088,5,1
16559,16743776,5,1
16576,16769088,5,1
16584,16779168,5,1
16585,16779616,5,1
16587,16782976,5,1
16589,16784880,5,1
16604,16798096,5,1
16609,16803136,5,1
16612,16809184,5,1
16639,16850848,5,1
16641,16854208,5,1
16658,16878960,5,1
16660,16880640,5,1
16661,16880976,5,1
16666,16887136,5,1
16694,16920960,5,1
16719,16960384,5,1
16737,16981328,5,1
16745,16994992,5,1
16756,17017392,5,1
16757,17017728,5,1
16762,17026576,5,1
16777,17041920,5,1
16801,17062080,5,1
16812,17073952,5,1
16815,17079664,5,1
16849,17137120,5,1
16855,17140368,5,1
16865,17152576,5,1
16872,17157616,5,1
16890,17184608,5,1
16892,17187072,5,1
16928,17237920,5,1
16950,17262672,5,1
16952,17263904,5,1
16953,17264464,5,1
16992,17342528,5,1
16995,17348464,5,1
17019,17378592,5,1
17022,17381616,5,1
17024,17384192,5,1
17036,17408720,5,1
17041,17412192,5,1
17044,17417120,5,1
17045,17418128,5,1
17049,17423728,5,1
17050,17424512,5,1
17060,17443552,5,1
17061,17445904,5,1
17084,17468752,5,1
17088,17472112,5,1
17096,17478048,5,1
17098,17482192,5,1
17121,17515792,5,1
17137,17534160,5,1
17142,17539200,5,1
17148,17548048,5,1
17150,17550960,5,1
17158,17557680,5,1
17161,17558576,5,1
17163,17561824,5,1
17167,17566192,5,1
17171,17569888,5,1
17175,17573920,5,1
17177,17577056,5,1
17215,17644928,5,1
17222,17653664,5,1
17228,17658032,5,1
17231,17659376,5,1
17233,17663632,5,1
17235,17664640,5,1
17240,17673712,5,1
17256,17694096,5,1
17264,17698912,5,1
17277,17717616,5,1
17278,17718400,5,1
