,level_0,index,Sub_flag,subscription,customer_id,Recency_flag,Refreq,points
17906,22038,23660,4,1,23834944,5,0,6
17907,22051,24676,4,1,23851520,4,0,8
17908,22088,3574,4,1,23915024,5,5,8
17909,22110,8326,4,1,23945152,4,5,9
17910,22152,20379,4,1,23995104,5,0,8
17911,22170,26155,4,1,24020752,5,0,4
17912,22184,2624,4,1,24043376,4,5,11
17913,22192,4719,4,1,24051664,5,4,19
17914,22194,4904,4,1,24052336,1,0,6
17915,22196,5544,4,1,24064768,4,0,8
17916,22215,13578,4,1,24099264,4,0,6
17917,22264,25353,4,1,24178224,4,0,1
17918,22274,26342,4,1,24195696,5,4,10
17919,22280,26872,4,1,24202304,4,0,3
17920,22316,7450,4,1,24253824,4,0,1
17921,22371,2649,4,1,24330208,4,5,7
17922,22442,8341,4,1,24413984,5,5,9
17923,22449,8658,4,1,24421264,5,5,7
17924,22469,9614,4,1,24454192,4,0,10
17925,22483,10565,4,1,24474240,3,0,2
17926,22497,11343,4,1,24496416,4,5,7
17927,22558,15679,4,1,24605392,4,5,8
17928,22587,17484,4,1,24628128,4,0,3
17929,22613,18937,4,1,24652432,5,0,10
17930,22615,18974,4,1,24653440,4,0,10
17931,22617,18991,4,1,24656464,4,0,3
17932,22642,20505,4,1,24691744,4,5,6
17933,22663,21507,4,1,24727136,5,5,30
17934,22670,22036,4,1,24731280,5,4,8
17935,22687,22851,4,1,24758832,4,5,7
17936,22722,24894,4,1,24798368,4,5,13
17937,22738,25847,4,1,24824128,4,0,4
17938,22782,28388,4,1,24893792,5,0,15
17939,22783,28395,4,1,24894128,4,5,7
17940,22788,28680,4,1,24900400,5,0,2
17941,22794,29187,4,1,24911264,5,0,2
17942,22802,29710,4,1,24926160,4,5,15
17943,22803,29712,4,1,24928848,4,4,16
17944,22919,20874,4,1,25122160,4,0,6
17945,22980,1547,4,1,25201792,4,5,15
17946,22981,1681,4,1,25203136,5,0,3
17947,22982,1683,4,1,25203808,3,4,6
17948,22989,2822,4,1,25209184,5,4,5
17949,23018,5533,4,1,25251296,4,0,2
17950,23091,14054,4,1,25340896,4,0,3
17951,23115,16493,4,1,25376960,4,5,14
17952,23124,17657,4,1,25394544,4,5,17
17953,23139,19520,4,1,25415600,5,5,15
17954,23171,23703,4,1,25467792,4,0,6
17955,23172,23890,4,1,25467904,4,4,7
17956,23192,25505,4,1,25494336,4,4,14
17957,23218,27025,4,1,25536000,4,5,20
17958,23228,27495,4,1,25546864,5,4,7
17959,23265,29165,4,1,25602528,5,0,6
17960,23269,29287,4,1,25606112,5,0,6
17961,23311,6746,4,1,25661104,5,0,10
17962,23327,12049,4,1,25687984,4,5,7
17963,23351,19490,4,1,25709712,5,5,20
17964,23357,22043,4,1,25715200,4,0,2
17965,23359,22133,4,1,25716768,4,4,14
17966,23363,23047,4,1,25720800,4,2,6
17967,23391,27373,4,1,25768400,5,4,8
17968,23413,319,4,1,25801888,5,0,2
17969,23438,2705,4,1,25844448,5,5,11
17970,23507,7268,4,1,25939872,4,0,2
17971,23555,10096,4,1,25999792,4,0,4
17972,23577,11097,4,1,26026672,4,0,2
17973,23583,11611,4,1,26032944,5,0,8
17974,23594,12052,4,1,26049296,5,0,6
17975,23653,16118,4,1,26148192,5,0,1
17976,23672,17319,4,1,26170704,4,4,7
17977,23688,17892,4,1,26188960,5,0,4
17978,23695,18308,4,1,26203632,5,5,20
17979,23702,18616,4,1,26215504,3,4,5
17980,23722,19445,4,1,26239920,5,4,6
17981,23854,24513,4,1,26445776,3,5,15
17982,23856,24666,4,1,26448912,4,4,7
17983,23891,25577,4,1,26511296,5,0,4
17984,23894,25802,4,1,26514992,5,0,4
17985,23942,27245,4,1,26576256,5,5,9
17986,23946,27441,4,1,26583872,4,0,3
17987,23961,27816,4,1,26620720,3,0,3
17988,23992,28564,4,1,26661376,4,4,5
17989,24013,29114,4,1,26698112,4,0,8
17990,24033,29786,4,1,26732608,4,0,8
17991,24111,9649,4,1,26886720,5,0,1
17992,24124,10824,4,1,26907104,5,0,8
17993,24128,11210,4,1,26912592,5,0,3
17994,24138,13115,4,1,26934992,4,0,2
17995,24171,19042,4,1,26997152,5,4,6
17996,24245,26422,4,1,27132224,5,0,8
17997,24248,26751,4,1,27133456,4,4,10
17998,24256,27557,4,1,27140512,5,5,9
17999,24274,29428,4,1,27159440,5,5,13
18000,24296,1583,4,1,27181280,5,4,10
18001,24338,6764,4,1,27245344,5,0,6
18002,24359,8616,4,1,27275248,5,0,1
18003,24361,8778,4,1,27277376,1,5,25
18004,24394,12039,4,1,27330016,5,4,8
18005,24395,12222,4,1,27330912,5,4,24
18006,24398,12292,4,1,27336400,4,4,7
18007,24433,14746,4,1,27395872,5,0,1
18008,24486,17381,4,1,27496336,4,4,14
18009,24500,17923,4,1,27530832,5,0,8
18010,24519,18870,4,1,27570928,4,5,20
18011,24554,21079,4,1,27619984,4,4,5
18012,24580,22461,4,1,27655600,4,5,9
18013,24646,25708,4,1,27765584,5,5,15
18014,24680,27186,4,1,27829648,5,4,10
18015,24711,28055,4,1,27873440,4,0,1
18016,24715,28133,4,1,27881840,4,0,10
18017,24756,29459,4,1,27963376,5,0,2
18018,24808,7237,4,1,28053760,5,0,2
18019,24809,7336,4,1,28055216,5,4,7
18020,24889,21605,4,1,28206640,5,0,8
18021,24892,21789,4,1,28216272,4,0,1
18022,24898,22769,4,1,28221200,5,4,19
18023,24959,29127,4,1,28328832,4,0,6
18024,24965,29575,4,1,28337008,5,0,2
18025,24988,6645,4,1,28380240,2,0,9
18026,24990,282,4,1,28385280,5,0,2
18027,24993,1076,4,1,28393904,4,0,6
18028,25024,3050,4,1,28454048,5,0,8
18029,25027,6052,4,1,28457520,5,0,4
18030,25048,931,4,1,28511056,4,0,2
18031,25093,17042,4,1,28611296,5,5,6
18032,25107,22938,4,1,28657552,5,0,3
18033,25109,23844,4,1,28660800,5,0,10
18034,25138,18716,4,1,28710752,5,0,6
18035,25149,9421,4,1,28724528,5,5,8
18036,25180,4450,4,1,28772800,5,5,9
18037,25185,6274,4,1,28783328,5,5,10
18038,25189,6918,4,1,28789488,5,0,1
18039,25191,7098,4,1,28791504,5,5,15
18040,25192,7378,4,1,28792736,5,4,7
18041,25197,9098,4,1,28803152,4,5,15
18042,25217,16300,4,1,28834960,5,5,20
18043,25233,21752,4,1,28866656,5,4,6
18044,25325,12763,4,1,29044736,5,5,11
18045,25337,15816,4,1,29062768,4,0,4
18046,25340,16038,4,1,29086512,5,5,11
18047,25342,16190,4,1,29089312,4,0,4
18048,25378,24381,4,1,29211056,5,0,2
18049,25392,5460,4,1,29248016,5,5,10
18050,25409,21552,4,1,29297632,5,0,6
18051,25431,18969,4,1,29355536,4,4,8
18052,25455,29166,4,1,29417696,5,4,8
18053,25457,29906,4,1,29419152,5,5,7
18054,25483,3048,4,1,29474368,4,4,14
18055,25485,3487,4,1,29480416,5,0,8
18056,25497,7153,4,1,29508080,5,4,5
18057,25540,17896,4,1,29599472,5,0,3
18058,25547,18865,4,1,29606976,5,0,2
18059,25565,22489,4,1,29631728,5,0,12
18060,25572,23388,4,1,29647520,3,5,9
18061,25578,25011,4,1,29654800,4,0,2
18062,25595,27729,4,1,29701056,5,0,2
18063,25605,29501,4,1,29720432,5,0,2
18064,25624,7640,4,1,29747200,5,0,3
18065,25658,1976,4,1,29816416,4,0,3
18066,25659,2430,4,1,29819664,5,5,6
18067,25670,5872,4,1,29836240,5,0,10
18068,25724,23746,4,1,29971984,4,0,4
18069,25737,26812,4,1,29998528,4,0,5
18070,25760,29866,4,1,30041760,5,4,24
18071,25769,6265,4,1,30075360,4,0,1
18072,25774,17719,4,1,30085776,4,0,6
18073,25778,23945,4,1,30106720,4,4,6
18074,25799,1300,4,1,30170224,5,5,14
18075,25814,4208,4,1,30188368,4,5,7
18076,25835,8289,4,1,30218048,5,4,8
18077,25837,8331,4,1,30219504,4,5,11
18078,25838,8429,4,1,30223424,5,5,7
18079,25843,9273,4,1,30232608,5,4,8
18080,25897,18027,4,1,30366784,5,0,4
18081,25933,21847,4,1,30429840,5,0,1
18082,25946,23441,4,1,30463552,5,4,8
18083,25997,85,4,1,30563344,5,0,15
18084,26027,11771,4,1,30619344,4,0,4
18085,26042,16712,4,1,30653840,5,0,5
18086,26063,24548,4,1,30712304,5,4,8
18087,26111,8483,4,1,30814000,5,5,7
18088,26119,10101,4,1,30825648,5,5,11
18089,26125,11476,4,1,30848272,5,2,10
18090,26170,20280,4,1,30969680,1,5,9
18091,26186,23627,4,1,31008320,5,4,5
18092,26204,25491,4,1,31055360,5,5,17
18093,26212,26660,4,1,31069360,4,4,9
18094,26234,28547,4,1,31134208,5,0,1
18095,26246,29650,4,1,31159632,5,0,3
18096,26253,3347,4,1,31175536,5,5,25
18097,26256,6232,4,1,31182368,3,5,7
18098,26270,15080,4,1,31206560,5,5,15
18099,26273,16068,4,1,31210480,4,0,4
18100,26325,1047,4,1,31333232,5,5,15
18101,26368,8100,4,1,31414880,4,5,6
18102,26420,1535,4,1,31521392,5,4,6
18103,26451,6902,4,1,31584784,1,5,9
18104,26478,13809,4,1,31642464,5,4,10
18105,26544,7408,4,1,31743152,5,0,2
18106,26630,9880,4,1,31890656,4,0,1
18107,26637,11302,4,1,31902640,5,5,17
18108,26681,19183,4,1,31973872,5,0,6
18109,26701,22538,4,1,32003552,3,5,7
18110,26736,1518,4,1,32064368,3,5,9
18111,26771,15885,4,1,32137392,4,0,10
18112,26772,16178,4,1,32137504,3,0,12
18113,26792,1034,4,1,32166400,5,0,5
18114,26810,4310,4,1,32207504,5,4,14
18115,26828,7576,4,1,32262272,5,5,11
18116,26846,11492,4,1,32297664,4,5,11
18117,26884,17731,4,1,32380768,1,5,11
18118,26885,17811,4,1,32381104,4,4,6
18119,26921,23515,4,1,32451776,5,4,5
18120,26990,15013,4,1,32609248,4,5,11
18121,27038,11125,4,1,32743088,5,5,9
18122,27040,14329,4,1,32746560,5,0,2
18123,27048,17988,4,1,32758096,4,0,6
18124,27070,26879,4,1,32817904,5,0,2
18125,27143,3375,4,1,33007520,5,0,12
18126,27169,7261,4,1,33063296,5,0,1
18127,27171,7723,4,1,33065760,1,0,2
18128,27209,10475,4,1,33156480,4,4,12
18129,27233,12028,4,1,33205088,5,0,4
18130,27237,12577,4,1,33213152,5,4,8
18131,27296,17125,4,1,33338368,4,4,9
18132,27298,17203,4,1,33341504,5,0,2
18133,27328,19577,4,1,33398400,4,0,8
18134,27337,19966,4,1,33409152,5,0,5
18135,27372,22424,4,1,33503456,4,5,20
